Gender,Attendance,Hours_Studied,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Physical_Activity,Learning_Disabilities,Exam_Score,Tutoring_Sessions,Motivation_Level,Teacher_Quality
Male,64,27,High,Yes,9,68,4,No,68,1,High,High
Female,90,16,Medium,No,7,54,3,No,67,2,High,Medium
Female,65,15,Medium,No,5,93,4,Yes,63,2,Low,Medium
Female,63,21,Medium,No,10,70,2,No,64,1,Low,High
Male,99,27,Medium,Yes,6,57,3,No,73,3,Medium,Medium
Male,98,14,Medium,Yes,10,82,3,No,69,1,High,Medium
Female,62,20,Low,No,8,94,3,No,65,1,High,Medium
Male,78,23,Low,Yes,6,93,5,No,70,0,Medium,High
Female,67,24,Medium,Yes,4,78,2,No,67,1,Low,High
Female,79,21,Low,Yes,8,54,3,No,67,3,High,Medium
Male,93,18,High,Yes,5,85,3,No,70,0,Medium,Medium
Female,98,15,Low,No,8,80,2,No,69,2,Low,High
Male,85,21,Medium,No,10,61,2,Yes,68,2,High,Medium
Male,74,14,High,No,5,95,3,Yes,66,1,High,High
Male,84,2,High,No,8,54,4,No,62,3,Low,Low
Male,72,23,Medium,Yes,6,69,4,No,67,2,Low,Medium
Male,96,25,Low,Yes,9,55,4,No,71,2,High,High
Female,95,6,Medium,Yes,7,96,2,No,68,4,Medium,Medium
Female,82,14,Medium,Yes,7,52,2,No,66,3,High,Medium
Male,73,24,Medium,Yes,9,71,3,No,64,0,High,Medium
Female,72,32,Medium,Yes,8,93,4,No,71,1,Low,Medium
Male,61,20,Low,Yes,6,63,4,No,61,1,Medium,High
Male,93,16,High,No,10,55,2,No,67,2,Medium,Medium
Female,78,19,Low,Yes,5,56,4,No,65,3,Low,Medium
Female,73,28,Medium,Yes,7,70,6,No,66,0,Low,Medium
Female,79,16,High,Yes,6,71,4,No,68,2,Medium,High
Male,93,15,Medium,No,5,86,2,No,66,0,Medium,Medium
Female,65,17,Medium,No,5,62,4,No,63,2,Medium,Medium
Female,94,14,Low,Yes,7,85,3,No,66,1,Low,Medium
Female,96,21,High,No,8,100,2,No,73,1,Medium,Medium
Male,98,30,Low,Yes,9,93,3,No,88,1,Medium,Low
Male,76,22,Medium,No,9,82,4,No,67,0,High,High
Female,69,18,High,Yes,7,97,2,No,69,2,Medium,Medium
Female,75,18,Low,Yes,6,100,3,No,67,2,High,Medium
Male,73,11,High,Yes,9,79,2,No,64,1,Medium,High
Male,67,25,High,Yes,6,64,2,No,64,0,Medium,Medium
Male,84,20,Medium,No,5,96,2,No,65,1,Low,Medium
Male,79,19,Medium,No,8,92,2,No,68,1,High,High
Male,95,39,High,Yes,9,54,3,No,77,2,High,Medium
Male,61,22,Medium,Yes,6,97,2,Yes,63,0,High,High
Male,86,15,High,Yes,10,68,5,No,69,0,Medium,Medium
Male,91,17,Medium,Yes,8,66,2,No,69,3,Medium,Low
Male,90,27,Low,No,8,67,3,No,70,2,Medium,Medium
Male,95,21,Medium,Yes,6,66,4,No,73,1,High,High
Male,89,11,Low,Yes,9,76,3,No,66,1,Medium,High
Female,97,26,Low,No,5,79,3,No,71,2,High,Low
Male,73,16,Low,Yes,6,71,5,No,66,2,Medium,High
Female,80,31,Medium,Yes,6,71,3,No,71,2,High,High
Male,61,26,Low,Yes,5,87,2,Yes,66,3,Medium,High
Female,60,17,High,Yes,8,50,4,No,63,0,High,High
Male,70,28,High,Yes,8,97,5,Yes,70,5,Medium,Low
Male,64,20,Medium,Yes,8,86,2,No,66,1,Medium,Medium
Male,70,25,Medium,No,7,85,4,No,66,1,Medium,Medium
Female,67,23,Medium,No,8,71,4,No,66,2,High,Medium
Male,61,15,Medium,No,7,98,3,No,62,1,Medium,Medium
Male,96,16,Medium,No,6,50,3,No,69,1,High,High
Male,60,26,High,Yes,6,54,1,No,63,1,Low,Medium
Female,89,18,Low,Yes,4,90,2,Yes,68,1,Low,Medium
Male,66,18,High,No,9,87,3,No,64,1,Medium,Low
Male,96,14,High,Yes,9,64,3,No,69,2,High,High
Male,96,23,Medium,Yes,10,80,3,No,71,3,Low,High
Male,86,32,Medium,Yes,6,77,4,No,71,2,Medium,Low
Female,87,14,Medium,No,6,76,4,No,66,1,Medium,Medium
Male,60,20,Medium,Yes,4,80,3,Yes,63,2,Low,Medium
Male,99,28,Medium,Yes,8,100,2,No,72,0,Low,Medium
Female,95,20,Medium,Yes,8,99,3,No,70,1,Low,Medium
Female,96,23,Low,No,9,99,2,No,71,0,Medium,Medium
Male,86,14,Low,Yes,6,77,3,No,65,3,Medium,Medium
Female,74,23,Low,Yes,8,66,4,No,65,0,Low,Medium
Male,96,19,Medium,No,6,78,2,No,67,1,High,Low
Male,72,26,Medium,No,9,81,3,No,68,0,High,High
Female,83,27,Medium,Yes,8,66,4,No,70,3,Medium,Medium
Female,64,36,Medium,Yes,5,82,2,No,70,2,Medium,High
Male,97,23,High,Yes,7,81,3,No,72,2,Low,High
Male,66,22,High,No,4,95,5,No,65,1,Medium,Low
Male,69,21,Medium,Yes,5,62,3,No,65,2,High,Medium
Male,82,18,Medium,Yes,5,85,4,No,71,3,High,High
Male,91,22,High,Yes,6,73,4,No,74,3,Low,Medium
Male,85,18,Medium,No,7,56,4,No,64,0,Low,Medium
Female,69,21,Medium,No,7,66,4,No,64,1,High,Medium
Female,60,28,High,Yes,7,53,3,No,65,3,Low,Medium
Male,90,14,Medium,Yes,7,66,5,No,67,1,Medium,Medium
Male,99,27,Medium,No,7,53,3,No,73,2,Low,High
Male,92,28,High,No,5,96,3,No,72,1,High,Low
Male,78,19,Medium,No,7,55,3,No,65,0,Low,Medium
Male,96,7,High,No,9,91,4,No,67,0,Medium,Medium
Female,76,16,Medium,Yes,7,95,3,No,66,2,Low,Medium
Male,81,28,Medium,Yes,8,73,3,No,70,0,Low,High
Female,79,20,Medium,No,8,53,3,No,66,2,Medium,Medium
Female,78,14,High,Yes,8,80,1,No,66,1,Low,Medium
Male,91,17,Low,Yes,7,62,3,No,68,3,Low,Medium
Male,81,25,Medium,Yes,8,59,4,No,68,3,Low,Medium
Female,73,23,High,No,8,78,4,No,67,0,Low,Medium
Female,70,19,Medium,Yes,8,68,3,No,65,1,High,Medium
Female,62,18,Low,Yes,8,87,4,No,64,4,Medium,Medium
Male,83,18,Medium,No,5,80,2,No,70,1,High,High
Male,69,14,Medium,No,5,91,3,No,63,0,Medium,Medium
Male,66,30,High,No,6,53,2,No,65,2,Low,Medium
Female,86,18,Medium,Yes,9,62,2,Yes,67,4,Medium,Medium
Female,87,27,Medium,Yes,7,78,5,No,71,3,Low,Medium
Female,90,29,Medium,Yes,7,94,4,No,73,1,Medium,Low
Male,80,26,Medium,No,4,91,3,No,67,1,Low,Medium
Female,96,17,Medium,Yes,7,84,3,No,72,2,Medium,High
Male,97,22,Medium,No,7,79,0,No,71,2,High,High
Male,92,20,High,Yes,4,82,4,No,72,0,High,Medium
Male,85,15,High,Yes,7,61,3,No,68,1,Medium,High
Female,72,22,Low,Yes,5,80,3,No,65,2,Medium,High
Female,99,13,Medium,No,6,75,4,Yes,68,1,Low,Medium
Male,71,27,Low,No,8,69,4,No,67,1,Medium,Medium
Female,68,17,Medium,No,7,94,4,No,66,1,High,Medium
Male,78,21,Low,Yes,6,91,1,Yes,64,0,Medium,Low
Male,62,22,Medium,No,6,54,3,No,65,3,Medium,Medium
Male,99,18,Medium,No,6,99,3,No,69,0,Medium,Medium
Male,84,24,Medium,Yes,7,61,2,No,68,2,Medium,Medium
Male,82,17,High,No,5,61,4,No,69,3,Medium,Medium
Male,86,25,Medium,Yes,9,97,3,No,70,1,Low,Medium
Female,80,12,Medium,No,5,72,4,Yes,65,1,Medium,Medium
Male,61,21,Medium,No,4,90,3,No,63,2,Low,Low
Female,84,32,Medium,Yes,8,64,3,No,71,1,Medium,High
Male,89,14,High,Yes,6,94,2,No,68,0,Low,Medium
Female,77,16,Medium,Yes,7,92,3,No,70,5,High,High
Female,90,23,High,Yes,8,76,3,No,72,2,High,Low
Female,69,21,Medium,Yes,6,85,1,No,64,3,Medium,Low
Male,69,22,Medium,No,7,98,2,No,64,0,Low,Medium
Female,66,23,Low,Yes,8,73,2,No,66,2,High,Medium
Male,75,24,High,Yes,9,75,3,No,69,0,High,High
Female,94,27,Low,No,6,86,2,No,71,2,Medium,Medium
Male,93,22,High,Yes,6,69,3,Yes,69,0,High,Low
Male,75,19,Medium,No,8,98,3,No,67,1,Low,Medium
Male,84,24,Medium,Yes,7,52,3,No,66,0,Medium,High
Female,89,31,Medium,No,7,70,2,No,71,2,Medium,High
Male,70,19,Low,Yes,9,86,2,Yes,63,2,Low,Medium
Female,67,14,Low,No,4,71,4,No,62,0,Medium,Medium
Female,99,27,High,No,5,63,4,No,73,0,Medium,High
Female,85,19,Medium,No,4,71,3,No,66,1,Low,High
Male,99,7,Medium,Yes,9,94,2,No,72,3,Medium,High
Female,74,25,Low,Yes,8,77,2,No,67,1,Low,Medium
Male,88,17,Low,No,5,67,3,No,65,0,Medium,High
Male,69,19,Medium,Yes,7,84,4,No,66,2,Medium,Medium
Female,70,22,Medium,Yes,7,81,2,No,68,3,Low,Medium
Female,80,21,High,Yes,4,78,4,No,69,1,Medium,High
Female,73,24,Medium,Yes,7,70,3,No,68,0,Medium,Medium
Male,67,17,High,Yes,5,54,2,No,61,0,Medium,Medium
Male,71,23,Low,Yes,8,81,2,No,68,3,Medium,High
Male,61,18,Low,Yes,5,71,3,No,64,3,Low,High
Male,88,24,Low,Yes,7,71,3,No,67,1,Low,High
Male,80,24,High,Yes,9,62,3,No,68,3,High,Low
Male,64,14,High,No,8,62,4,Yes,61,1,Low,High
Female,67,27,Low,No,8,89,3,No,66,1,Low,Low
Female,64,17,Low,Yes,7,74,2,No,64,2,Low,Low
Female,85,25,Medium,No,5,55,3,No,67,3,Low,Medium
Female,64,22,High,No,6,52,4,No,64,2,Low,Medium
Male,90,31,High,No,7,61,3,No,72,0,Low,Medium
Male,61,19,Medium,No,7,74,3,No,62,2,Low,Medium
Female,70,18,Medium,Yes,5,81,2,No,63,2,Low,Medium
Male,96,20,High,No,8,57,4,No,70,1,Low,Medium
Male,89,18,Medium,No,5,72,3,No,69,3,Low,Medium
Male,63,25,Medium,Yes,9,54,2,No,64,3,Medium,Low
Male,93,10,Medium,No,7,52,3,No,66,2,Medium,Medium
Female,80,14,Medium,Yes,8,93,4,No,67,3,Medium,High
Female,94,14,High,Yes,8,83,5,Yes,71,4,Medium,Low
Female,84,26,High,Yes,10,89,1,No,70,0,Medium,High
Male,87,30,Medium,No,7,59,3,No,69,2,Medium,Medium
Male,100,19,Low,No,6,66,3,No,68,0,High,Medium
Female,69,19,High,Yes,6,72,1,No,64,1,Medium,Medium
Male,85,20,Medium,Yes,9,83,3,Yes,70,3,Low,Medium
Male,78,27,Low,Yes,5,77,3,No,69,0,Medium,Low
Female,62,14,Medium,Yes,6,78,2,No,63,0,Medium,Medium
Female,61,21,Medium,No,7,58,3,No,60,1,Medium,Low
Female,65,26,Low,No,7,74,4,No,65,2,Medium,Medium
Male,86,23,Medium,No,8,91,0,No,67,0,Medium,Medium
Male,83,21,Low,No,5,75,4,No,66,1,Low,Medium
Female,82,26,High,No,7,60,3,No,68,3,Medium,Medium
Male,61,4,High,Yes,7,71,1,No,58,0,High,Low
Female,79,24,High,Yes,5,88,3,No,67,0,Medium,Medium
Male,97,16,Medium,Yes,8,57,4,Yes,68,0,Low,Medium
Female,76,9,Medium,Yes,7,79,3,No,62,1,Medium,Medium
Female,85,23,High,No,7,98,3,No,69,2,High,Medium
Male,91,28,High,Yes,6,69,4,No,73,1,High,High
Male,91,19,Low,No,6,52,4,Yes,66,2,Medium,Medium
Female,81,26,Medium,Yes,5,82,5,Yes,67,0,Medium,Medium
Female,94,30,Medium,No,8,52,4,No,71,1,Medium,Low
Male,76,28,Medium,Yes,9,60,2,No,66,1,Medium,Medium
Female,96,30,Medium,Yes,10,52,4,No,74,0,Medium,High
Male,70,24,High,No,8,59,5,No,67,2,Low,High
Male,71,20,Medium,No,6,93,2,No,68,2,High,High
Male,62,10,Medium,No,6,87,3,No,61,2,High,High
Female,92,19,High,No,8,67,2,No,69,2,Medium,Medium
Male,77,15,Medium,Yes,7,95,4,No,65,4,Low,Medium
Male,69,33,High,Yes,7,83,2,No,71,2,Medium,Low
Female,69,19,Low,No,7,72,2,No,61,1,Medium,Low
Male,96,21,High,Yes,9,53,3,No,70,0,Medium,High
Male,93,23,Low,No,6,87,3,No,70,2,Medium,Medium
Male,82,20,High,Yes,9,69,3,No,69,1,Low,Medium
Female,85,30,Low,Yes,7,65,3,No,70,2,High,Medium
Male,79,16,Medium,Yes,6,64,4,Yes,67,4,Medium,Low
Female,76,21,Medium,No,6,50,4,No,63,2,Low,Medium
Female,97,16,Medium,No,7,87,3,No,70,1,Medium,Medium
Female,65,12,Medium,No,8,57,5,Yes,61,1,Medium,High
Female,77,16,High,Yes,6,76,1,No,64,1,Low,Medium
Male,74,20,Medium,Yes,8,51,3,No,65,2,High,Medium
Male,80,17,Medium,No,6,81,1,No,65,1,Medium,High
Female,78,16,Low,Yes,7,68,3,No,66,3,High,High
Female,81,12,High,Yes,5,82,3,No,66,1,Low,High
Male,66,20,Medium,Yes,8,54,2,No,63,2,Medium,Low
Male,81,11,High,Yes,7,63,2,No,66,3,Medium,Medium
Male,70,25,Medium,Yes,9,56,1,No,64,0,High,Medium
Male,67,20,Low,No,8,82,4,Yes,65,3,Medium,High
Male,63,11,Medium,No,7,55,1,No,62,3,Low,Medium
Male,91,18,High,Yes,9,81,5,No,71,4,High,Medium
Male,77,15,Medium,Yes,8,57,2,No,63,1,Low,Medium
Male,85,22,High,No,9,97,3,No,70,0,High,High
Male,89,28,Low,Yes,6,71,4,No,70,2,Low,Medium
Female,87,9,Medium,No,8,56,3,No,65,1,Medium,High
Female,79,21,High,Yes,8,52,3,Yes,66,1,Medium,Medium
Female,76,19,Low,Yes,5,66,4,No,66,2,Medium,Medium
Male,75,24,Low,No,9,95,2,No,68,0,High,High
Male,86,21,High,No,5,57,3,No,68,1,Medium,Medium
Female,80,15,Medium,Yes,5,90,3,No,69,4,Medium,High
Female,94,18,Medium,Yes,4,71,3,No,71,3,Medium,Low
Male,95,15,Medium,Yes,8,90,1,No,69,2,Low,Medium
Male,67,26,High,Yes,5,94,2,No,68,0,Medium,Medium
Male,65,20,High,Yes,6,100,5,No,67,2,Medium,High
Male,85,31,Medium,No,8,53,3,No,72,2,Medium,High
Male,72,20,Medium,Yes,7,90,3,No,68,2,High,Medium
Female,61,16,Medium,Yes,6,53,4,Yes,60,0,Low,Medium
Male,96,11,High,No,5,66,4,No,68,2,High,Medium
Female,69,9,Medium,Yes,7,82,2,No,65,1,High,High
Female,97,10,High,No,8,72,3,No,67,0,High,Medium
Female,89,22,Medium,No,8,78,3,No,70,4,Low,Medium
Female,91,23,Low,Yes,10,98,3,No,70,0,High,High
Female,68,11,Medium,No,6,91,2,No,61,3,Low,High
Male,69,25,Low,Yes,5,68,4,No,68,2,Medium,High
Female,81,17,High,No,7,80,3,No,67,1,High,Medium
Female,67,21,High,No,7,52,3,Yes,62,3,Medium,Medium
Male,72,30,Low,No,7,73,4,No,66,0,Medium,Medium
Female,73,25,Medium,Yes,6,80,2,No,69,3,Medium,Medium
Female,66,18,High,Yes,4,86,4,No,66,2,Medium,Medium
Female,68,15,Medium,Yes,5,95,5,No,64,0,Medium,Medium
Male,92,7,Medium,No,8,64,4,No,66,1,High,Low
Male,67,16,Medium,No,7,95,5,Yes,63,2,Low,Medium
Male,61,19,High,Yes,8,83,3,No,62,1,Low,Medium
Male,85,14,Medium,Yes,8,54,4,No,65,1,Low,Medium
Male,99,19,High,No,8,69,2,No,68,0,Low,Medium
Male,73,20,High,Yes,8,74,4,No,65,1,Low,Low
Female,65,19,High,Yes,7,68,4,No,63,1,Low,Low
Male,83,16,High,Yes,7,56,2,No,68,3,Medium,Medium
Male,96,21,High,Yes,4,78,2,No,72,2,Low,Medium
Male,91,23,Low,No,6,57,3,No,69,2,Medium,Medium
Male,85,13,Medium,No,6,96,5,No,66,1,Low,High
Male,73,28,Low,Yes,7,93,3,No,68,2,High,High
Male,82,19,Low,No,6,74,2,No,64,1,Medium,High
Male,64,20,Low,Yes,8,53,2,No,61,1,Low,Medium
Male,87,24,Medium,No,6,78,2,Yes,67,0,High,Low
Male,89,21,Low,Yes,9,80,3,No,68,0,Medium,Low
Male,99,26,Medium,No,6,94,3,No,74,2,High,Medium
Female,70,22,High,Yes,6,53,2,No,67,3,Medium,High
Male,61,16,High,Yes,6,85,3,No,64,2,Medium,Medium
Male,82,22,High,No,6,78,3,No,69,3,Medium,High
Female,88,13,Medium,Yes,9,59,3,Yes,63,0,Medium,Medium
Female,92,21,Medium,No,7,56,4,No,67,0,Medium,Medium
Male,68,20,Medium,Yes,7,85,3,No,65,1,Medium,Medium
Female,70,19,Medium,Yes,6,67,4,No,67,5,Medium,Low
Female,81,19,Medium,No,7,100,5,No,68,1,Medium,Medium
Male,73,9,Low,Yes,7,95,3,No,62,3,Medium,Medium
Female,94,17,Medium,Yes,7,78,3,No,70,1,Medium,High
Female,79,21,High,Yes,7,82,3,No,67,1,Medium,Medium
Female,92,21,High,Yes,9,58,5,No,89,2,Medium,Medium
Female,83,14,Medium,Yes,7,95,2,Yes,65,1,Low,Medium
Female,91,28,Medium,Yes,5,73,2,No,69,2,Medium,Medium
Female,73,15,Medium,No,7,76,4,No,64,2,High,Medium
Female,93,26,Low,No,6,94,4,No,74,6,Medium,Medium
Female,71,23,High,No,8,50,2,No,64,0,Medium,Medium
Female,82,16,High,No,7,75,2,No,64,0,Medium,Medium
Male,69,31,Low,Yes,9,81,2,No,67,2,Medium,Medium
Male,79,13,Low,Yes,6,58,4,No,63,2,High,Medium
Female,73,26,Medium,Yes,7,53,5,No,68,3,Low,High
Male,71,26,Medium,Yes,5,77,5,No,66,0,Low,Medium
Female,99,16,High,Yes,7,77,3,Yes,68,0,High,Medium
Female,66,28,High,No,5,67,1,No,68,1,Medium,Medium
Female,91,18,Medium,No,7,94,2,No,69,3,Medium,Medium
Female,99,22,Low,No,7,65,3,No,71,3,Medium,Low
Female,61,22,High,Yes,7,76,3,No,65,1,Medium,Medium
Male,88,19,Medium,Yes,8,59,4,No,67,2,Medium,Medium
Female,70,25,Medium,No,7,51,4,No,65,1,Medium,Medium
Male,62,25,Medium,No,5,71,4,No,65,0,Medium,High
Male,76,10,Low,No,6,76,2,No,80,1,Medium,High
Male,97,28,Medium,Yes,7,88,2,No,74,2,High,Medium
Male,60,10,Medium,No,7,72,3,No,59,3,Low,Low
Male,84,26,Medium,No,7,64,3,No,69,2,Low,High
Male,80,27,Low,Yes,9,80,2,Yes,66,0,Medium,Medium
Female,95,13,Medium,Yes,7,69,2,Yes,66,1,Medium,Low
Female,63,18,High,No,8,62,4,No,65,2,Medium,Medium
Male,87,13,Medium,Yes,4,96,3,Yes,67,3,Low,Low
Male,87,19,High,No,8,77,4,No,69,3,Low,Medium
Female,87,18,Low,Yes,10,60,3,No,68,2,High,Medium
Female,98,25,Medium,Yes,9,84,2,No,73,1,Medium,High
Female,93,28,High,Yes,6,90,2,Yes,71,1,Medium,Medium
Male,62,28,Medium,Yes,10,88,2,Yes,67,0,Medium,High
Female,79,17,Medium,Yes,7,80,3,No,67,1,Low,High
Male,76,19,Low,No,7,76,2,No,66,0,Medium,High
Female,72,10,Low,No,7,89,4,No,63,3,Medium,Medium
Male,78,15,High,No,7,85,1,No,65,1,Medium,Medium
Male,75,26,Low,Yes,4,79,1,No,67,2,Medium,Medium
Male,77,30,Low,Yes,8,83,3,No,69,1,Medium,Low
Male,99,13,Medium,Yes,7,58,2,No,67,1,Medium,Medium
Male,64,16,Medium,Yes,7,51,3,No,66,4,High,High
Female,97,20,High,Yes,7,97,4,No,74,2,Low,High
Female,79,22,Medium,No,6,97,2,No,69,2,Medium,Medium
Female,85,15,Medium,Yes,7,89,4,No,66,0,High,Medium
Male,93,23,Low,Yes,9,69,3,Yes,69,0,Low,Medium
Male,74,17,Medium,Yes,8,58,2,No,63,1,Low,Medium
Female,77,20,Low,Yes,7,68,3,No,65,0,Medium,High
Male,76,23,Medium,No,7,86,4,No,64,1,Low,Medium
Male,75,20,Medium,No,7,67,4,No,64,0,High,Medium
Male,97,17,High,Yes,6,90,2,No,69,2,Low,Low
Female,93,19,High,No,7,84,3,No,73,5,Medium,High
Male,64,19,Medium,Yes,8,81,3,Yes,62,1,High,Medium
Male,64,18,Low,Yes,7,97,4,No,62,2,Low,Low
Female,77,18,Medium,Yes,6,95,2,No,68,0,High,High
Female,64,30,Medium,No,7,86,3,No,66,1,Low,Medium
Female,85,23,High,Yes,8,60,1,Yes,68,2,High,Medium
Male,66,18,High,Yes,5,97,4,No,66,4,Medium,Medium
Male,81,24,Medium,Yes,6,61,3,No,69,3,Low,Medium
Female,60,18,Medium,Yes,5,69,2,No,62,0,Medium,Medium
Female,73,27,Medium,No,7,91,4,No,68,2,Medium,Medium
Male,87,22,Medium,No,8,60,2,No,67,2,Low,High
Male,79,19,Medium,No,9,82,4,No,65,1,Medium,Medium
Male,99,23,Medium,No,9,73,4,No,69,0,Medium,Medium
Male,95,11,Medium,No,6,81,3,No,67,2,High,Low
Female,74,13,Low,Yes,7,98,3,No,64,0,High,Medium
Female,62,13,Medium,Yes,6,90,3,Yes,62,3,Medium,High
Male,94,21,Medium,Yes,9,65,3,Yes,71,5,Low,High
Male,96,30,High,Yes,9,53,3,No,72,0,Medium,Medium
Female,93,33,High,Yes,7,98,2,Yes,74,0,Low,Medium
Male,65,24,High,No,6,79,2,No,66,1,Low,High
Female,100,23,Low,Yes,4,59,4,No,72,2,Medium,Medium
Female,70,9,Medium,No,5,81,4,No,65,1,Medium,High
Female,89,17,Medium,Yes,4,52,3,No,67,0,High,Medium
Male,96,15,High,Yes,5,59,2,No,70,2,High,High
Male,69,16,Medium,Yes,10,82,1,Yes,62,0,Medium,High
Male,96,19,Low,Yes,5,70,2,No,66,0,High,Medium
Male,72,17,Medium,Yes,5,66,3,No,65,2,Medium,High
Male,99,8,High,Yes,6,83,4,Yes,70,2,High,High
Female,71,24,High,Yes,10,93,2,Yes,69,2,Low,Medium
Female,98,14,Medium,Yes,7,84,3,No,70,3,Low,Medium
Female,62,21,High,No,8,73,2,No,66,2,Medium,Medium
Male,88,32,Low,Yes,7,83,4,No,73,1,Low,High
Female,81,14,Medium,No,4,85,4,No,69,3,Low,High
Female,79,5,High,Yes,9,89,3,No,66,3,Low,Medium
Male,69,18,Medium,Yes,8,65,4,No,65,4,Medium,Medium
Female,88,27,Low,No,7,56,4,No,70,2,High,Medium
Male,68,32,High,No,10,84,2,No,70,0,Medium,High
Male,82,13,Medium,No,6,56,4,No,67,2,High,High
Male,70,23,High,Yes,7,73,3,No,68,1,High,Medium
Female,98,17,Low,Yes,6,62,2,No,68,1,Low,Medium
Female,61,19,Medium,No,9,67,2,No,61,0,Medium,Medium
Male,68,36,Medium,Yes,8,74,3,No,70,2,High,Medium
Male,70,11,High,No,7,95,5,No,65,0,High,High
Male,77,22,Medium,Yes,5,84,2,No,66,3,Medium,Medium
Male,69,23,Medium,Yes,6,59,3,No,67,3,Medium,Medium
Male,80,27,Low,Yes,5,94,3,No,69,3,High,Medium
Male,95,21,High,No,9,75,2,No,69,1,Medium,Medium
Male,88,22,Medium,Yes,5,60,2,No,67,1,Low,Medium
Female,83,18,Low,No,9,76,4,No,66,0,Medium,Low
Male,64,22,Medium,Yes,9,60,2,No,63,1,Medium,High
Female,88,18,Medium,No,6,68,4,No,67,0,Low,High
Male,67,24,Low,Yes,6,90,1,No,64,0,Medium,Medium
Male,91,18,Low,No,6,83,4,No,68,2,Medium,Medium
Male,70,22,High,Yes,8,74,2,No,65,2,Low,High
Male,77,20,Low,No,9,61,3,No,65,2,Medium,Medium
Male,74,27,Low,Yes,9,64,3,No,65,1,High,Medium
Female,94,20,Medium,Yes,6,99,4,No,70,0,Medium,Medium
Female,65,9,High,Yes,9,67,3,No,62,1,Medium,Medium
Male,83,28,Low,No,9,81,4,No,68,0,Medium,Medium
Male,66,15,High,Yes,7,75,3,No,62,0,Low,High
Female,88,16,High,Yes,7,51,3,No,68,0,Medium,Medium
Male,96,16,Medium,Yes,9,97,5,No,72,0,Medium,High
Female,77,28,Medium,Yes,9,54,3,No,70,1,Low,Medium
Female,80,7,Medium,No,9,83,3,No,62,3,Low,Medium
Female,97,39,High,Yes,10,91,3,No,79,2,Medium,Medium
Male,81,26,High,Yes,8,87,1,No,73,2,Medium,High
Male,80,21,High,Yes,7,90,2,No,68,1,High,Low
Male,83,20,Medium,Yes,9,87,2,No,68,0,Low,Medium
Female,88,22,Medium,Yes,10,72,2,No,69,2,Medium,High
Female,64,23,Low,Yes,6,95,2,Yes,63,1,High,Medium
Female,93,24,Medium,Yes,7,96,4,No,74,5,Medium,Medium
Female,77,23,Medium,Yes,5,72,5,No,69,2,Medium,High
Female,63,21,Low,No,8,74,3,No,61,0,Medium,Medium
Female,91,19,Low,Yes,8,74,2,Yes,69,4,Low,Medium
Female,75,19,Low,No,6,64,3,No,64,2,High,Medium
Female,64,19,Medium,Yes,9,56,4,No,63,2,Low,Medium
Male,85,27,High,No,6,63,2,No,68,1,Low,Medium
Male,95,24,Medium,Yes,6,92,3,No,72,2,Medium,Medium
Female,96,2,High,Yes,9,77,2,No,65,3,Medium,Medium
Male,98,24,Low,No,6,93,4,No,69,2,Low,Low
Male,95,21,Low,No,5,87,4,No,70,2,Low,Medium
Female,60,20,Medium,Yes,8,67,4,No,63,1,Low,Medium
Female,75,18,Medium,Yes,7,59,2,Yes,62,0,Low,Medium
Female,93,27,Medium,Yes,9,78,2,No,72,1,Low,Medium
Male,75,26,High,No,8,97,4,No,69,1,Medium,Medium
Female,84,15,Medium,No,4,92,3,No,66,2,Low,Medium
Male,84,22,Medium,Yes,9,88,4,No,71,2,Medium,High
Female,75,14,Low,No,10,88,3,No,62,2,Medium,Medium
Male,96,12,Low,Yes,9,76,2,No,68,2,Medium,High
Female,80,16,Low,No,9,58,2,No,63,0,Low,Medium
Female,79,25,Medium,Yes,7,64,3,No,66,0,Medium,Medium
Male,100,26,Medium,Yes,6,79,3,No,75,1,High,High
Female,80,23,Low,Yes,7,66,4,No,69,1,High,High
Female,67,24,Medium,No,8,89,3,No,68,2,Medium,Low
Male,81,23,Medium,No,8,69,2,No,69,5,Medium,Medium
Male,93,16,Low,No,6,56,4,No,67,2,Medium,Medium
Male,91,23,Medium,Yes,6,89,3,No,73,3,Medium,Medium
Male,92,25,High,Yes,5,85,1,No,71,1,Low,Medium
Female,88,25,Medium,Yes,8,63,3,No,71,2,Medium,Medium
Female,70,27,Medium,No,6,99,2,No,68,2,High,Medium
Male,94,24,Low,No,7,70,1,No,70,1,Medium,Medium
Male,96,22,High,Yes,10,84,3,No,71,1,Low,High
Male,68,26,High,No,8,96,2,No,69,1,High,High
Male,65,20,Medium,No,7,58,4,No,63,3,Medium,Medium
Male,99,15,Medium,Yes,8,94,3,No,71,2,Medium,Medium
Male,95,19,Medium,Yes,9,85,3,No,69,2,Medium,Medium
Male,96,16,Medium,Yes,5,58,5,No,71,2,Medium,Low
Female,95,16,Low,No,6,83,3,No,68,2,Low,High
Female,82,19,Medium,No,7,94,3,No,68,1,Medium,Medium
Male,86,15,Low,No,6,90,3,No,66,0,Medium,High
Female,82,18,Medium,No,7,88,3,No,67,3,Medium,Medium
Female,62,9,High,Yes,5,58,5,No,59,0,Low,High
Female,90,21,Medium,No,8,60,2,No,66,1,Medium,Medium
Male,80,20,Low,No,6,77,3,No,64,0,Low,High
Female,86,15,Medium,No,7,79,3,Yes,64,1,Medium,Medium
